Segments	Energy	Value	Error
7	0.0166622	7.32822e-05	0.0003
7	0.0185662	7.8769e-05	0.0003
7	0.0206877	8.47721e-05	0.0003
7	0.0230516	9.27852e-05	0.0003
7	0.0256857	9.98937e-05	0.0003
7	0.0286207	0.000107438	0.0003
7	0.0318912	0.000115555	0.0003
7	0.0355353	0.000126405	0.0003
7	0.0395959	0.000135901	0.0003
7	0.0441204	0.000145911	0.0003
7	0.049162	0.000156525	0.0003
7	0.0547796	0.000170703	0.0003
7	0.0610392	0.00018297	0.0003
7	0.068014	0.000195889	0.0003
7	0.0757858	0.000209455	0.0004
7	0.0844457	0.000227715	0.0004
7	0.0940952	0.000243565	0.0004
7	0.104847	0.000260004	0.0004
7	0.116828	0.000277062	0.0004
7	0.130178	0.000299936	0.0004
7	0.145053	0.000319507	0.0004
7	0.161628	0.000339744	0.0004
7	0.180097	0.00036003	0.0005
7	0.200676	0.000387077	0.0005
7	0.223607	0.000409796	0.0005
7	0.249158	0.000432762	0.0005
7	0.277629	0.000455109	0.0005
7	0.309353	0.000484112	0.0005
7	0.344702	0.000507613	0.0006
7	0.38409	0.000531434	0.0006
7	0.42798	0.000554744	0.0006
7	0.476884	0.000585614	0.0006
7	0.531377	0.000610901	0.0006
7	0.592096	0.000635892	0.0007
7	0.659754	0.000658294	0.0007
7	0.735143	0.00068926	0.0007
7	0.819146	0.000714914	0.0007
7	0.912748	0.000741309	0.0008
7	1.01705	0.000764428	0.0008
7	1.13326	0.00079691	0.0008
7	1.26276	0.00082497	0.0009
7	1.40705	0.000853169	0.0009
7	1.56783	0.000878953	0.0009
7	1.74699	0.000914907	0.0009
7	1.94661	0.000947989	0.001
7	2.16905	0.000983849	0.001
7	2.4169	0.00101782	0.001
7	2.69307	0.00106539	0.0011
7	3.00081	0.00110998	0.0011
7	3.3437	0.00115936	0.0011
7	3.72578	0.0012071	0.0011
7	4.15152	0.0012728	0.0012
7	4.6259	0.00134099	0.0012
7	5.1545	0.00141948	0.0012
7	5.74349	0.00149925	0.0012
7	6.39979	0.00160298	0.0012
7	7.13108	0.00171315	0.0012
7	7.94594	0.00184013	0.0012
7	8.8539	0.0019736	0.0012
7	9.86562	0.00215364	0.0012
7	10.9929	0.00235096	0.0012
7	12.2491	0.00257811	0.0012
7	13.6488	0.00283099	0.0012
7	15.2084	0.00316068	0.0011
7	16.9462	0.00355142	0.0011
7	18.8826	0.00402122	0.0011
7	21.0403	0.00459066	0.001
7	23.4446	0.00529968	0.001
7	26.1235	0.0061478	0.0009
7	29.1086	0.00712462	0.0009
7	32.4348	0.00771921	0.0008
7	36.1411	0.00429819	0.0012
7	40.2708	7.16464e-05	0.0067
7	44.8725	5.2504e-06	0.0324
7	50.0	5.5335e-07	0.093
8	0.001	0.0	0.0
8	0.00111427	1.21329e-05	0.0003
8	0.00124159	1.27819e-05	0.0003
8	0.00138347	1.34383e-05	0.0003
8	0.00154155	1.42134e-05	0.0003
8	0.0017177	1.52111e-05	0.0003
8	0.00191398	1.61068e-05	0.0003
8	0.00213269	1.70411e-05	0.0003
8	0.00237639	1.81318e-05	0.0003
8	0.00264793	1.95412e-05	0.0003
8	0.00295051	2.07953e-05	0.0003
8	0.00328766	2.21078e-05	0.0003
8	0.00366333	2.3613e-05	0.0003
8	0.00408194	2.55787e-05	0.0003
8	0.00454837	2.73276e-05	0.0003
8	0.0050681	2.9163e-05	0.0003
8	0.00564723	3.12488e-05	0.0003
8	0.00629252	3.39812e-05	0.0003
8	0.00701156	3.64153e-05	0.0003
8	0.00781276	3.89851e-05	0.0003
8	0.00870551	4.18753e-05	0.0003
8	0.00970027	4.56497e-05	0.0003
8	0.0108087	4.90319e-05	0.0003
8	0.0120438	5.26287e-05	0.0003
8	0.01342	5.66104e-05	0.0003
8	0.0149535	6.19082e-05	0.0003
8	0.0166622	6.66259e-05	0.0003
